Nombre,NorteWGS84,EsteWGS84,row,column_,Top,Cota terreno,Cota filtro
SHA-E01,7764974.552,520317.201,150,142,3896.667,3895.149,3750.149
SHA-E02,7765591.26,521430.857,148,147,3934.667,3929.108,3758.108
SHA-E03,7763828.127,520800.779,153,144,3888.375,3883.445,3715.445
SHA-E04,7762711.441,521291.837,157,146,3871,3863.324,3716.324
SHA-E05,7766123.478,520173.372,146,141,3898.917,3899.406,3755.406
SHA-E06,7767272.384,520032.493,142,141,3906.667,3906.078,3735.078
SHA-E07,7752513.6,525619.578,191,163,3826.75,3822.745,3651.745
SHA-E08,7751537.344,525729.297,194,164,3825.333,3820.231,3691.231
SHA-E09,7753424.827,525517.318,188,163,3831.444,3830.438,3710.438
SHA-E10,7754434.453,525406.369,185,162,3849.667,3842.242,3740.242
SHA-E11,7770717.061,516573.997,130,127,3831.5,3831.337,3678.337
SHA-E12,7770717.571,516588.887,130,127,3831.5,3831.218,3805.218
SHA-E13,7770735.141,517601.423,130,131,3846.083,3848.258,3701.258
SHA-E14,7771874.076,516490.597,127,127,3835.75,3839.034,3701.034
SHA-E15,7771858.457,516490.527,127,127,3835.75,3839.028,3815.028
SHA-E16,7772965.032,516603.647,123,127,3841.083,3843.025,3684.525
SHA-E17,7772327.975,517633.003,125,131,3849,3846.728,3699.728
SHA-E18,7777505.145,516572.508,108,127,3852.083,3856.895,3727.895
SHA-E19,7779698.517,515857.591,101,124,3858.444,3866.422,3758.422
SHA-E20,7776174.94,518762.639,112,136,3963.938,3962.878,3827.878
SHA-E21,7780544.193,519380.148,98,138,4024.5,4026.377,3897.377
SHA-E22,7782644.755,520078.796,91,141,4009.417,4011.686,3929.686
SHA-E23,7783503.663,517198.276,88,130,3908.667,3900.832,3816.832
SHA-E24,7779673.797,515850.591,101,124,3858.444,3866.379,3854.379
SHA-E26x,7779970.44,514007.05,100,117,4015.333,4025.28,3810.28
SHA-E27,7770435.176,514684.495,131,120,3884.5,3864.164,3697.164
SHA-E30,7766713.435,522902.532,144,152,3982.583,3984.02,3800.22
SHA-E34,7752406.49,527985.508,191,173,3888.167,3872.41,3747.41
SHA-P01,7764992.812,520348.331,150,142,3896.667,3896.047,3728.047
SHA-P02,7767277.943,520072.703,142,141,3906.667,3907.633,3733.633
SHA-P03,7766121.948,520213.112,146,142,3904.667,3900.91,3752.41
SHA-P04,7762700.531,521255.427,157,146,3871,3862.557,3727.557
SHA-P05,7752548.1,525608.528,191,163,3826.75,3822.409,3772.409
SHA-P06,7751580.774,525728.267,194,164,3825.333,3820.155,3724.155
SHA-P07,7753393.147,525532.658,188,163,3831.444,3830.082,3716.082
SHA-P08A,7770737.651,516562.907,130,127,3831.5,3831.567,3683.567
SHA-P09,7772345.215,517631.413,125,131,3849,3847.119,3685.119
SHA-P10,7772959.082,516589.107,123,127,3841.083,3842.999,3689.999
SHA-P11,7770719.621,517597.183,130,131,3846.083,3848.543,3695.543
SHA-P12,7779670.887,515867.731,101,124,3858.444,3866.555,3746.555
SHA-P13,7782612.805,520060.896,91,141,4009.417,4010.083,3872.083
SHA-P14,7770420.63,514702.04,131,120,3884.5,3863.692,3704.692
